ages,birth_year,1.5C,2C
0,2017,0.7718443185528947,1.5818818742170448
1,2016,0.9104674848668284,1.7156684123601558
2,2015,1.0478519126424468,1.8482162119649512
3,2014,1.1828661776527951,1.9783938488044768
4,2013,1.306644013330862,2.0971386774702556
5,2012,1.423681975330933,2.208947718462408
6,2011,1.5225607825784098,2.302402153903622
7,2010,1.6163450637410033,2.39056707401814
8,2009,1.7000277422572507,2.4684358621680103
9,2008,1.7860304470027992,2.5484252738968154
10,2007,1.8732054605632016,2.629387708041744
11,2006,1.955813608357721,2.705584106172059
12,2005,2.033923148301343,2.7770828422512395
13,2004,2.1092345033805606,2.8455844552128684
14,2003,2.189047829087989,2.9184859680394184
15,2002,2.2668315063443885,2.989255617637601
16,2001,2.3402915454156545,3.0555992699542585
17,2000,2.4131750860366488,3.1212639200993344
18,1999,2.4759050842742747,3.1766723792080818
19,1998,2.534408726218075,3.2277457588721936
20,1997,2.5951661382652715,3.280963857379464
21,1996,2.6546845379898225,3.3328335627069032
22,1995,2.712604625771987,3.3829952441413003
23,1994,2.766996150615022,3.4295183180868443
24,1993,2.816763299092073,3.471210388825913
25,1992,2.882331375378336,3.5284956895880315
26,1991,2.9482784126459802,3.585951174252012
27,1990,3.016219515475061,3.6451908596698734
28,1989,3.0865270840768746,3.706586049802091
29,1988,3.1541622390256965,3.765082553640135
30,1987,3.219815690747142,3.821369182160327
31,1986,3.2849531183643568,3.8769096910182776
32,1985,3.3430784158126916,3.925206026256893
33,1984,3.3928034458325245,3.964868077883908
34,1983,3.439287300035664,4.001288919969102
35,1982,3.4910301025743005,4.042968676263961
36,1981,3.5337842121571565,4.075659705069317
37,1980,3.5876340356449195,4.119446412830603
38,1979,3.641124542186103,4.1628737682735535
39,1978,3.6954186204635637,4.207091410274942
40,1977,3.7358225729376207,4.237405442938506
41,1976,3.7664926344296425,4.2579718982532375
42,1975,3.8007424253950126,4.282104189230653
43,1974,3.8358063662675015,4.307036524108308
44,1973,3.888014472699924,4.348860530151384
45,1972,3.941664044711832,4.391868845755127
46,1971,3.9848782457804166,4.424179842473229
47,1970,4.044089713265474,4.4722212305410585
48,1969,4.097642921434773,4.514332416766606
49,1968,4.1526052913399445,4.5575619655872295
50,1967,4.210689055125672,4.603615782828877
51,1966,4.245063637473819,4.625656758141346
52,1965,4.2702164588041125,4.638165558915927
53,1964,4.288448422307511,4.643436107513801
54,1963,4.296430801129927,4.638271949820597
55,1962,4.304305800384927,4.632810619688914
56,1961,4.3103580633641645,4.6253319100819805
57,1960,4.3132350858393576,4.6144782781047216
58,1959,4.315784260527482,4.603091879590177
59,1958,4.316722594167772,4.589871556072013
60,1957,4.315823781710304,4.574584576379743
61,1956,4.314087714855086,4.55822412437049
62,1955,4.307350697314753,4.536619497479792
63,1954,4.298726272542777,4.512876916480061
64,1953,4.291198588488074,4.490369587375656
65,1952,4.277943077613734,4.4622774097324935
66,1951,4.258936876809901,4.428582207187172
67,1950,4.236544065539778,4.391652980232489
68,1949,4.214081837364268,4.354812093621953
69,1948,4.189996377841212,4.316504069901132
70,1947,4.164229036290015,4.276675898394639
71,1946,4.136717924791828,4.235271642490258
72,1945,4.1073976754839725,4.192232220272587
73,1944,4.0761991746744215,4.147495164205769
74,1943,4.0426453330783865,4.101508641037495
75,1942,4.0066420531474565,4.054222733663733
76,1941,3.9680894835018803,4.005584472673538
77,1940,3.9268815400599917,3.9555375823165866
78,1939,3.882905376290727,3.9040221994813966
79,1938,3.836049025995491,3.850983776002322
80,1937,3.7861856344129134,3.796355231169244
81,1936,3.7331797772893514,3.7400649527304566
82,1935,3.6768866712313018,3.68203637932756
83,1934,3.617151290959191,3.622187533699885
84,1933,3.5566844727471882,3.5616162126904585
85,1932,3.4954512492461816,3.5002878774170045
86,1931,3.3721344674802967,3.37697109565112
87,1930,3.2500564242527274,3.2548930524235504
88,1929,3.130348543790428,3.1351851719612513
89,1928,3.021875883511429,3.0267125116822515
90,1927,2.9201418906236034,2.9249785187944264
91,1926,2.8365658490535623,2.8414024772243844
92,1925,2.7580831329755027,2.7629197611463256
93,1924,2.6897008217827394,2.6945374499535624
94,1923,2.6190065533290112,2.623843181499834
95,1922,2.547148040324561,2.5519846684953844
96,1921,2.479864452650036,2.4847010808208587
97,1920,2.417087527694464,2.421924155865286
98,1919,2.357116837779472,2.3619534659502945
99,1918,2.292643038854137,2.29747966702496
100,1917,2.2301977483915283,2.235034376562351
